name,Attribute,Value
Toyota Corona,power(hp),95
Toyota Corona,economy(mpg),31
Toyota Corona,cylinders,4
Toyota Corona,displacement(cc),76
Toyota Corona,power(hp),52
Toyota Cressida,economy(mpg),25.4
Toyota Cressida,cylinders,6
Toyota Cressida,displacement(cc),168
Toyota Cressida,power(hp),116
Toyota Mark II,economy(mpg),19
Toyota Mark II,cylinders,6
Toyota Mark II,displacement(cc),156
Toyota Mark II,power(hp),108
Toyota Mark II,economy(mpg),20
Toyota Mark II,cylinders,6
Toyota Mark II,displacement(cc),156
Toyota Mark II,power(hp),122
Toyota Starlet,economy(mpg),39.1
Toyota Starlet,cylinders,4
Toyota Starlet,displacement(cc),79
Toyota Starlet,power(hp),58
Toyota Tercel,economy(mpg),37.7
Toyota Tercel,cylinders,4
Toyota Tercel,displacement(cc),89
Toyota Tercel,power(hp),62
Toyouta Corona Mark II (Wagon),economy(mpg),23
Toyouta Corona Mark II (Wagon),cylinders,4
Toyouta Corona Mark II (Wagon),displacement(cc),120
Toyouta Corona Mark II (Wagon),power(hp),97
Triumph TR7 Coupe,economy(mpg),35
Triumph TR7 Coupe,cylinders,4
Triumph TR7 Coupe,displacement(cc),122
Triumph TR7 Coupe,power(hp),88
Vokswagen Rabbit,economy(mpg),29.8
Vokswagen Rabbit,cylinders,4
Vokswagen Rabbit,displacement(cc),89
Vokswagen Rabbit,power(hp),62
Volkswagen 1131 Deluxe Sedan,economy(mpg),26
Volkswagen 1131 Deluxe Sedan,cylinders,4
Volkswagen 1131 Deluxe Sedan,displacement(cc),97
Volkswagen 1131 Deluxe Sedan,power(hp),46
Volkswagen 411 (Wagon),economy(mpg),22
Volkswagen 411 (Wagon),cylinders,4
Volkswagen 411 (Wagon),displacement(cc),121
Volkswagen 411 (Wagon),power(hp),76
Volkswagen Dasher (Diesel),economy(mpg),43.4
Volkswagen Dasher (Diesel),cylinders,4
Volkswagen Dasher (Diesel),displacement(cc),90
Volkswagen Dasher (Diesel),power(hp),48
Volkswagen Dasher,economy(mpg),25
Volkswagen Dasher,cylinders,4
Volkswagen Dasher,displacement(cc),90
Volkswagen Dasher,power(hp),71
Volkswagen Dasher,economy(mpg),26
Volkswagen Dasher,cylinders,4
Volkswagen Dasher,displacement(cc),79
Volkswagen Dasher,power(hp),67
Volkswagen Dasher,economy(mpg),30.5
Volkswagen Dasher,cylinders,4
Volkswagen Dasher,displacement(cc),97
Volkswagen Dasher,power(hp),78
Volkswagen Jetta,economy(mpg),33
Volkswagen Jetta,cylinders,4
Volkswagen Jetta,displacement(cc),105
Volkswagen Jetta,power(hp),74
Volkswagen Model 111,economy(mpg),27
Volkswagen Model 111,cylinders,4
Volkswagen Model 111,displacement(cc),97
Volkswagen Model 111,power(hp),60
Volkswagen Pickup,economy(mpg),44
Volkswagen Pickup,cylinders,4
Volkswagen Pickup,displacement(cc),97
Volkswagen Pickup,power(hp),52
Volkswagen Rabbit C (Diesel),economy(mpg),44.3
Volkswagen Rabbit C (Diesel),cylinders,4
Volkswagen Rabbit C (Diesel),displacement(cc),90
Volkswagen Rabbit C (Diesel),power(hp),48
Volkswagen Rabbit Custom Diesel,economy(mpg),43.1
Volkswagen Rabbit Custom Diesel,cylinders,4
Volkswagen Rabbit Custom Diesel,displacement(cc),90
Volkswagen Rabbit Custom Diesel,power(hp),48
Volkswagen Rabbit Custom,economy(mpg),29
Volkswagen Rabbit Custom,cylinders,4
Volkswagen Rabbit Custom,displacement(cc),97
Volkswagen Rabbit Custom,power(hp),78
Volkswagen Rabbit Custom,economy(mpg),31.9
Volkswagen Rabbit Custom,cylinders,4
Volkswagen Rabbit Custom,displacement(cc),89
Volkswagen Rabbit Custom,power(hp),71
Volkswagen Rabbit L,economy(mpg),36
Volkswagen Rabbit L,cylinders,4
Volkswagen Rabbit L,displacement(cc),105
Volkswagen Rabbit L,power(hp),74
Volkswagen Rabbit,economy(mpg),29
Volkswagen Rabbit,cylinders,4
Volkswagen Rabbit,displacement(cc),90
Volkswagen Rabbit,power(hp),70
Volkswagen Rabbit,economy(mpg),29
Volkswagen Rabbit,cylinders,4
Volkswagen Rabbit,displacement(cc),90
Volkswagen Rabbit,power(hp),70
Volkswagen Rabbit,economy(mpg),29.5
Volkswagen Rabbit,cylinders,4
Volkswagen Rabbit,displacement(cc),97
Volkswagen Rabbit,power(hp),71
Volkswagen Rabbit,economy(mpg),41.5
Volkswagen Rabbit,cylinders,4
Volkswagen Rabbit,displacement(cc),98
Volkswagen Rabbit,power(hp),76
Volkswagen Scirocco,economy(mpg),31.5
Volkswagen Scirocco,cylinders,4
Volkswagen Scirocco,displacement(cc),89
Volkswagen Scirocco,power(hp),71
Volkswagen Super Beetle 117,economy(mpg),-1
Volkswagen Super Beetle 117,cylinders,4
Volkswagen Super Beetle 117,displacement(cc),97
Volkswagen Super Beetle 117,power(hp),48
Volkswagen Super Beetle,economy(mpg),26
Volkswagen Super Beetle,cylinders,4
Volkswagen Super Beetle,displacement(cc),97
Volkswagen Super Beetle,power(hp),46
Volkswagen Type 3,economy(mpg),23
Volkswagen Type 3,cylinders,4
Volkswagen Type 3,displacement(cc),97
Volkswagen Type 3,power(hp),54
Volvo 144EA,economy(mpg),19
Volvo 144EA,cylinders,4
Volvo 144EA,displacement(cc),121
Volvo 144EA,power(hp),112
Volvo 145E (Wagon),economy(mpg),18
Volvo 145E (Wagon),cylinders,4
Volvo 145E (Wagon),displacement(cc),121
Volvo 145E (Wagon),power(hp),112
Volvo 244DL,economy(mpg),22
Volvo 244DL,cylinders,4
Volvo 244DL,displacement(cc),121
Volvo 244DL,power(hp),98
Volvo 245,economy(mpg),20
Volvo 245,cylinders,4
Volvo 245,displacement(cc),130
Volvo 245,power(hp),102
Volvo 264GL,economy(mpg),17
Volvo 264GL,cylinders,6
Volvo 264GL,displacement(cc),163
Volvo 264GL,power(hp),125
Volvo Diesel,economy(mpg),30.7
Volvo Diesel,cylinders,6
Volvo Diesel,displacement(cc),145
Volvo Diesel,power(hp),76
